simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 84; food_remaining: 13
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 85; food_remaining: 13
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 85; food_remaining: 11
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 86; food_remaining: 13
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 86; food_remaining: 11
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 87; food_remaining: 13
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 87; food_remaining: 11
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 88; food_remaining: 13
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 88; food_remaining: 9
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 89; food_remaining: 9
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 89; food_remaining: 13
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 90; food_remaining: 9
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 90; food_remaining: 13
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 91; food_remaining: 13
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 91; food_remaining: 9
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 92; food_remaining: 12
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 92; food_remaining: 9
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 93; food_remaining: 12
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 93; food_remaining: 9
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 94; food_remaining: 11
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 94; food_remaining: 8
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 95; food_remaining: 8
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 95; food_remaining: 11
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 96; food_remaining: 8
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 96; food_remaining: 11
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 97; food_remaining: 10
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 97; food_remaining: 8
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 98; food_remaining: 10
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 98; food_remaining: 7
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 99; food_remaining: 10
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 99; food_remaining: 6
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 100; food_remaining: 10
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 100; food_remaining: 5
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 101; food_remaining: 10
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 101; food_remaining: 5
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 102; food_remaining: 5
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 102; food_remaining: 10
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 103; food_remaining: 5
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 103; food_remaining: 10
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 104; food_remaining: 5
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 104; food_remaining: 10
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 105; food_remaining: 4
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 105; food_remaining: 10
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 106; food_remaining: 9
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 106; food_remaining: 4
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 107; food_remaining: 4
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 107; food_remaining: 9
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 108; food_remaining: 4
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 108; food_remaining: 8
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 109; food_remaining: 8
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 109; food_remaining: 4
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 110; food_remaining: 8
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 110; food_remaining: 4
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 111; food_remaining: 8
